label,index,x01,y01,z01,x02,y02,z02,x03,y03,z03,x04,y04,z04,x05,y05,z05,x06,y06,z06,x07,y07,z07,x08,y08,z08,x09,y09,z09,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
1,1,0.30402,0.01006,0.24438,0.60916,0.28345,0.37012,0.70275,0.61907,0.47504,0.64083,0.89621,0.56466,0.52122,0.85588,0.22642,0.66392,1.30549,0.41321,0.73034,1.57711,0.48282,0.75756,1.81516,0.52336,0.25449,0.91361,0.21585,0.40521,1.23673,0.52004,0.39316,0.84802,0.55358,0.36183,0.64464,0.48355,0.00145,0.8889,0.23272,0.14836,0.92249,0.54068,0.14767,0.5648,0.47663,0.10632,0.46276,0.34273,-0.24713,0.807,0.26919,-0.08391,0.75205,0.47054,-0.04209,0.49824,0.42587,-0.07513,0.4539,0.33842
1,2,0.20104,0.11357,0.2226,0.32476,0.3658,0.35709,0.14845,0.46453,0.4722,-0.0939,0.49633,0.5842,0.03244,0.97606,0.27543,0.03603,1.37897,0.45532,0.04205,1.67032,0.577,0.02099,1.92214,0.66988,-0.23934,0.91851,0.26433,-0.27074,0.84796,0.5284,-0.1243,0.51021,0.58541,-0.02203,0.35378,0.57779,-0.45753,0.77532,0.27472,-0.48195,0.66179,0.5299,-0.27359,0.38983,0.49043,-0.13641,0.29849,0.41436,-0.631,0.58111,0.30442,-0.62072,0.50136,0.49939,-0.42036,0.29552,0.4717,-0.27994,0.23941,0.40754
1,3,0.25826,0.12668,0.28332,0.3601,0.33207,0.43965,0.14758,0.36045,0.5712,-0.10518,0.34758,0.70266,0.1324,0.99379,0.26993,0.09762,1.51439,0.46277,0.03999,1.81021,0.5787,-0.00491,2.06012,0.6488,-0.14275,0.92332,0.22807,-0.30984,1.08851,0.54323,-0.276,0.69222,0.64087,-0.15036,0.43866,0.61918,-0.3678,0.78531,0.21265,-0.50874,0.83695,0.52938,-0.43193,0.49259,0.53738,-0.29693,0.28944,0.43966,-0.53043,0.62369,0.21316,-0.69082,0.69693,0.43449,-0.61033,0.45869,0.40835,-0.46247,0.29105,0.31207
1,4,-0.27403,0.31569,0.16544,-0.36658,0.72382,0.22417,-0.01322,0.85034,0.28304,0.33079,0.79519,0.32779,-0.18513,1.03858,0.08078,-0.12941,1.5021,0.26374,-0.10703,1.74087,0.38639,-0.06959,1.99525,0.47911,0.07969,0.93419,0.09067,0.08698,1.23822,0.35156,-0.01641,0.88892,0.39935,-0.01198,0.7351,0.36863,0.30879,0.817,0.13677,0.33618,1.11682,0.36501,0.18545,0.79212,0.28943,0.18088,0.66122,0.17296,0.53499,0.67583,0.20669,0.52584,0.91236,0.33779,0.39661,0.7307,0.27634,0.37715,0.62667,0.19613
1,5,0.3896,0.12453,0.15101,0.6921,0.5514,0.16186,0.69334,0.95535,0.1513,0.46217,1.12004,0.13201,0.45572,0.94144,0.10668,0.50162,1.35809,0.22882,0.48333,1.63952,0.30235,0.45875,1.8867,0.36287,0.16894,0.92799,0.10096,0.18744,1.24857,0.29083,0.17236,0.85901,0.30279,0.17666,0.65917,0.2588,-0.10455,0.87267,0.11526,-0.12664,1.12905,0.33733,-0.07075,0.76628,0.26101,-0.04444,0.59358,0.15144,-0.38525,0.77816,0.14166,-0.40872,0.99028,0.30202,-0.31412,0.76593,0.24209,-0.2767,0.63982,0.16274
1,6,0.46945,0.18863,-0.07274,0.60315,0.56681,-0.10237,0.59224,0.88354,-0.1446,0.49547,1.06135,-0.17466,0.59664,0.80576,0.16323,0.67146,1.30818,0.14636,0.66628,1.60353,0.13082,0.65696,1.83761,0.13248,0.30001,0.92569,0.14738,0.45066,1.05946,0.01317,0.44583,0.90868,-0.11131,0.41727,0.76196,-0.15164,0.03803,0.92074,0.10845,0.21009,0.95182,-0.07237,0.21675,0.80663,-0.16317,0.17837,0.67288,-0.15433,-0.18928,0.87163,0.06737,-0.01497,0.8474,-0.06761,-0.00109,0.71521,-0.12179,-0.02354,0.61544,-0.12675
1,7,0.27146,0.15964,0.19182,0.48435,0.46157,0.31247,0.48077,0.74624,0.42685,0.24162,0.86877,0.53462,0.26261,0.99225,0.17215,0.28004,1.38506,0.33575,0.28171,1.66126,0.42025,0.25209,1.8885,0.48243,-0.0126,0.93959,0.19278,-0.01281,1.17437,0.44252,0.04661,0.78577,0.4758,0.08358,0.64491,0.43446,-0.24627,0.81616,0.23626,-0.27138,0.93838,0.50586,-0.15304,0.61836,0.44409,-0.118,0.53716,0.33474,-0.46809,0.65231,0.2954,-0.45845,0.75354,0.47165,-0.34612,0.54393,0.40779,-0.32472,0.4808,0.32178
1,8,0.21498,0.31412,0.16991,0.22494,0.70155,0.24324,0.08459,1.02219,0.31392,-0.11655,1.2506,0.37471,0.12776,1.03287,0.06646,0.1207,1.46374,0.17594,0.10345,1.72941,0.2348,0.07981,1.94856,0.27781,-0.10729,0.94859,0.06903,-0.14868,1.23835,0.26821,-0.08229,0.9616,0.31084,-0.05449,0.79675,0.28396,-0.31218,0.8119,0.09581,-0.3198,1.04977,0.34518,-0.17353,0.74362,0.31011,-0.1328,0.57649,0.21542,-0.50142,0.63698,0.13477,-0.46531,0.84384,0.33008,-0.31984,0.63114,0.29643,-0.26904,0.48526,0.22341
1,9,0.23326,0.09385,0.17913,0.43164,0.2451,0.3214,0.37362,0.35446,0.46422,0.19952,0.4101,0.60525,0.26443,0.93862,0.26247,0.24914,1.36443,0.45634,0.24571,1.65917,0.57775,0.23673,1.89482,0.64912,-0.02046,0.95057,0.27634,0.04248,0.94964,0.55579,0.09838,0.69001,0.63904,0.13069,0.48396,0.62824,-0.26678,0.86626,0.3025,-0.19952,0.64702,0.54502,-0.08831,0.38132,0.52827,-0.00819,0.21003,0.44529,-0.48074,0.72342,0.34766,-0.42377,0.56526,0.48398,-0.30382,0.36451,0.44113,-0.21384,0.24711,0.35832
1,10,-0.21677,0.10499,0.19588,-0.30479,0.34262,0.32523,-0.17623,0.49168,0.43832,-0.05239,0.62636,0.54246,-0.21405,0.99383,0.24562,-0.19126,1.48472,0.43988,-0.13882,1.80809,0.57996,-0.11411,2.09477,0.68096,0.02939,0.91956,0.25281,0.21155,1.11848,0.51757,0.13707,0.81924,0.57583,0.02422,0.6477,0.55639,0.22322,0.78434,0.28003,0.36612,0.8824,0.5145,0.23899,0.60361,0.44349,0.13208,0.47871,0.33878,0.36777,0.6029,0.32566,0.47705,0.68632,0.48539,0.35682,0.47849,0.41393,0.2537,0.38282,0.32037
